Variable,Coefficient,Std_Error,z_value,P_value
age_group_20-24,1.9580153857376679,0.045778927023296334,42.771106992989544,0.0
age_group_25-29,3.0682074610480496,0.04519089970972858,67.89436547525816,0.0
age_group_30-34,4.06836792864822,0.04536961875820205,89.67163577747121,0.0
age_group_35+,4.8500864142322095,0.045845715866497154,105.79148613047452,0.0
marital_status_Unmarried,-0.006156623269945805,0.041155813792965075,-0.149593039294929,0.8810857002240092
race_mother_Indian Tamil,0.08711534560120417,0.11628063092436061,0.7491819136918153,0.45374756870553123
race_mother_Malay,0.44791368767843676,0.15248101697513405,2.9375045927945287,0.003308652710645403
race_mother_Sinhalese,-0.10169869149820404,0.114894114855071,-0.8851514424954503,0.3760749574101576
race_mother_Srilankan Moor,0.7149099879027115,0.11536599972172029,6.196886341098584,5.75910569870213e-10
race_mother_Srilankan Tamil,-0.14222709101563627,0.11611386780083648,-1.22489323376593,0.2206154501142934
Gender _Male,-0.03706053416724369,0.0076511043492751354,-4.8438150200833165,1.2736952044724417e-06
Hospital or Not_Not In Hospial,0.13941709291940818,0.11433859990079115,1.2193353166855028,0.22271694941775433
province_mother_Eastern,0.2208114405003109,0.018382428416848662,12.012093043045564,3.0697584517653906e-33
province_mother_North Central,0.2904809433024642,0.018793671883882413,15.456316631322203,6.839954201916779e-54
province_mother_North Western,0.11308945471415813,0.02027868998169137,5.576763332161053,2.4503487430591102e-08
province_mother_Northern,0.09045056035299266,0.023000035170321623,3.932627045271072,8.402254690602484e-05
province_mother_Sabaragamuwa,-0.09357789760586774,0.014405366155214972,-6.49604436274541,8.24593507578502e-11
province_mother_Southern,0.02199724105429173,0.012992350013132562,1.6930917834000083,0.09043799803278144
province_mother_Uva,0.08209860828152336,0.015462258350014921,5.3096130217901925,1.0985824118680094e-07
province_mother_Western,-0.3199405892210689,0.011256878971199284,-28.421784585197784,1.0881299320433728e-177
Birth_Weight(grams),0.0002664347040277023,8.109516746892677e-06,32.85457226903096,9.800182322998371e-237
1/2,3.6540377543112363,0.12547421647917797,29.121821652638985,1.900513864395143e-186
2/3,0.6788550592960554,0.00291270807795394,233.06663116508525,0.0
3/4,0.7314381191768063,0.004590256404893851,159.3458087432745,0.0
