Statistic,Value
Count,268170
Mean,2917.7
Median,2930.0
Mode,3000.0
Std Dev,479.9
Min,620.0
Max,7740.0
Range,7120.0
Q1,2640.0
Q3,3220.0
IQR,580.0
Skewness,-0.309
