Variable,Coefficient,Std_Error,z_value,P_value
age_group_20-24,1.9588560489338127,0.04578552334983174,42.78330584903124,0.0
age_group_25-29,3.0699699151365123,0.045197967753829865,67.92274227587096,0.0
age_group_30-34,4.0704993861542675,0.04537716902482965,89.70368741881973,0.0
age_group_35+,4.855979953534511,0.04585677138296334,105.8945016643409,0.0
marital_status_Unmarried,-0.004908854990818369,0.041175655970550847,-0.11921740832323888,0.9051031151601243
race_mother_Indian Tamil,0.08653710733302379,0.11656212823463813,0.7424118677622774,0.45783783129136013
race_mother_Malay,0.450324510424588,0.1527793247534604,2.947548767814464,0.0032030422576487033
race_mother_Sinhalese,-0.10235877138824809,0.1151805664129135,-0.8886809170680733,0.37417458970741946
race_mother_Srilankan Moor,0.7216832539086135,0.11565414875157154,6.240011808472259,4.3753786232868863e-10
race_mother_Srilankan Tamil,-0.1438279557029131,0.11640321707023518,-1.235601208651565,0.21660683522201152
Gender _Male,-0.03728676911734924,0.007651830113681523,-4.87292171459482,1.0995980402212428e-06
Hospital or Not_Not In Hospial,0.1452473352775022,0.11480388738943569,1.2651778487674097,0.2058075811816521
province_mother_Eastern,0.22450306258058866,0.018397293107878306,12.203048636782839,2.9940047974740958e-34
province_mother_North Central,0.29015296182514283,0.01878693245553237,15.444403311286653,8.228558609713391e-54
province_mother_North Western,0.11565179753614391,0.020293632862478074,5.698920361862778,1.2056852733701437e-08
province_mother_Northern,0.09315332616798234,0.023014114391206892,4.047660691370069,5.1732065555176066e-05
province_mother_Sabaragamuwa,-0.093654923309358,0.014402851259347907,-6.502526591640873,7.89820538301681e-11
province_mother_Southern,0.022497272732842397,0.012991764778328453,1.731656408247944,0.08333475639329053
province_mother_Uva,0.08240519337682227,0.01545895365646193,5.330580271348213,9.789944856502636e-08
province_mother_Western,-0.3195510306579614,0.011257458337132074,-28.385717369607388,3.03487868137001e-177
Birth_Weight(grams),0.0002669338410273294,8.111301637188448e-06,32.90887861986284,1.6406064273262985e-237
1/2,3.6580917708279705,0.12574796923946385,29.090662799188497,4.7119858789281265e-186
2/3,0.6789818193244735,0.002912806236518594,233.10229524089362,0.0
3/4,0.7300268253387068,0.0045907993903969956,159.01954393079606,0.0
4/5,0.562619813495492,0.01150745894934795,48.891750643818014,0.0
5/6,0.5213292079275605,0.027125161093535022,19.21939582699155,2.5471859687989955e-82
