race_mother,Later-born (%),First-born (%),Total N
Bharatha,57.1,42.9,14
Burgher,53.2,46.8,380
Indian Moor,61.0,39.0,41
Indian Tamil,57.9,42.1,13131
Malay,63.1,36.9,491
Other Foreigners,48.4,51.6,124
Other Srilankans,46.5,53.5,43
Pakistan Moor,53.0,47.0,100
Sinhalese,53.8,46.2,224121
Srilankan Chetty,57.1,42.9,7
Srilankan Moor,62.5,37.5,39384
Srilankan Tamil,58.2,41.8,40452
