Variable,Coefficient,Std_Error,z_value,P_value
age_group_20-24,1.7228420912271185,0.03159504128225075,54.52887609281161,0.0
age_group_25-29,2.8380155738725663,0.031030754802811426,91.45815472124573,0.0
age_group_30-34,3.7843171300109395,0.03124812786366924,121.10540338676708,0.0
age_group_35+,4.5273443820825525,0.0318953827502572,141.9435664883515,0.0
marital_status_Unmarried,-0.0757915233638907,0.03403810673420364,-2.2266668341964677,0.025969548577775888
race_mother_Burgher,-0.5395645035468695,0.5000960398337209,-1.0789217681593153,0.2806226039382008
race_mother_Indian Moor,-0.07432492684729053,0.5646972665157578,-0.13161906609869609,0.8952856041600502
race_mother_Indian Tamil,-0.012078179467111984,0.4899309987815454,-0.024652817431741046,0.9803318898641483
race_mother_Malay,-0.06671297827413071,0.49659899694574966,-0.1343397362548815,0.8931339330198421
race_mother_Other Foreigners,-1.048370174169618,0.5230715490655966,-2.004257689110416,0.045042463719239194
race_mother_Other Srilankans,-0.11162663811183034,0.5699166705442374,-0.19586484109200272,0.8447159569568341
race_mother_Pakistan Moor,-0.6115746774150171,0.5274729661911038,-1.1594426949142322,0.24627578219011503
race_mother_Sinhalese,-0.6388035948004934,0.4896489067630372,-1.3046155847124945,0.1920237787805641
race_mother_Srilankan Chetty,-0.06018171680034173,0.8940129217065956,-0.06731638362168176,0.9463298342293788
race_mother_Srilankan Moor,0.24947041389147948,0.48972336129687444,0.5094108911423737,0.6104642438741859
race_mother_Srilankan Tamil,-0.11118756331489878,0.4897329397344816,-0.22703713451494872,0.82039486686177
child_sex_Male,-0.01889345332166821,0.007003802027583942,-2.697599567671642,0.006984139531034675
Hospital or Not_Not In Hospital,0.19079808670811926,0.030293656638388424,6.298285115780247,3.0095656505809704e-10
multiple_birth_Triplets,0.03121886273402839,0.292441463856835,0.10675251834094092,0.9149853170073107
Birth_Weight(grams),0.00018473057053135925,7.327249117894942e-06,25.21144942106606,3.0001591703855514e-140
1/2,2.7893994643464173,0.49101283314653116,5.680909491654747,1.33980366956861e-08
2/3,0.6281322218030502,0.0027487547772661316,228.515190586692,0.0
3/4,0.5081593514137843,0.004347115112582634,116.89576610081654,0.0
4/5,0.26358466411972487,0.008985302251517233,29.33509154633242,3.702654705017718e-189
5/6,0.26353526432486707,0.01662760919469958,15.849257775969066,1.422510279864578e-56
6/7,0.0853270663331688,0.03235604853128254,2.6371287659144387,0.008361108658089374
7/8,0.21630001547481,0.05434533438183764,3.980102761997138,6.888548411973741e-05
8/9,0.44555199297126413,0.09912663196487062,4.494775865371506,6.964326377568415e-06
