Birth Order,N,Mean (g),SD (g),Median (g),IQR (g),% LBW (<2500g),% Macrosomia (>4000g)
1st child,128521,2860.9,477.7,2870.0,2585.0 - 3165.0,18.5,0.7
2nd child,110651,2923.9,480.6,2940.0,2640.0 - 3230.0,15.3,1.0
3rd child,49063,2940.0,499.0,2950.0,2650.0 - 3250.0,15.4,1.3
4th child,10845,2945.6,520.3,2965.0,2640.0 - 3260.0,16.0,1.5
5th child,2505,2952.5,531.0,2990.0,2630.0 - 3290.0,16.7,1.8
6th child,503,2983.7,541.3,3010.0,2665.0 - 3315.0,16.1,1.6
7th child,138,2871.0,533.2,2910.0,2540.0 - 3255.0,21.7,0.0
8th child,36,2846.2,548.1,2960.0,2586.2 - 3166.2,22.2,2.8
9th child,16,2926.9,424.1,2940.0,2743.8 - 3170.0,18.8,0.0
