race_mother,Later-born (%),First-born (%),Total N
Bharatha,50.0,50.0,6
Burgher,51.1,48.9,262
Indian Moor,84.4,15.6,32
Indian Tamil,58.2,41.8,13557
Malay,60.8,39.2,454
Other Foreigners,48.0,52.0,225
Other Srilankans,57.7,42.3,137
Pakistan Moor,57.7,42.3,26
Sinhalese,57.1,42.9,220195
Srilankan Chetty,62.5,37.5,8
Srilankan Moor,61.5,38.5,37445
Srilankan Tamil,55.0,45.0,29931
