Variable,Coefficient,Std_Error,z_value,P_value
age_group_20-24,1.8042867578836388,0.039278244250470606,45.93603386083178,0.0
age_group_25-29,2.885096953604583,0.03878747975234615,74.38217105173149,0.0
age_group_30-34,3.8417799924999487,0.03889497397620691,98.77317297731237,0.0
age_group_35+,4.633845652830713,0.03939180398909247,117.63476620958556,0.0
marital_status_Unmarried,-0.015069668978041809,0.03357056007033541,-0.4488953698260788,0.6535071363321162
race_mother_Burgher,-0.46758377259291706,0.7072686231671521,-0.6611119980115544,0.5085404914641833
race_mother_Indian Moor,0.7740764759865205,0.7681907871660016,1.0076617539794148,0.31361687168135877
race_mother_Indian Tamil,-0.021475538099349833,0.6963981110374626,-0.030838018884566675,0.975398720142873
race_mother_Malay,0.32828231247042733,0.7022200423924582,0.46749208603043013,0.6401478528705709
race_mother_Other Foreigners,-0.9330308695819287,0.7095615555199493,-1.314939996852319,0.18853006917400805
race_mother_Other Srilankans,-0.16837531177469375,0.7166433217804599,-0.23494994882025105,0.8142475808908929
race_mother_Pakistan Moor,-0.8400956636747255,0.790215704602795,-1.0631219536404972,0.2877266498222999
race_mother_Sinhalese,-0.38127063611166545,0.6962345046086987,-0.5476181280701523,0.5839541392769123
race_mother_Srilankan Chetty,-0.1778488859930531,0.9231217043334867,-0.19266027995892884,0.8472250325944439
race_mother_Srilankan Moor,0.46478630900048984,0.6962963042047531,0.6675122447064068,0.5044449909636604
race_mother_Srilankan Tamil,-0.18866576282816006,0.696318166605637,-0.2709476384162928,0.7864313047419786
Gender _Male,-0.023945991364113333,0.007155590872485905,-3.34647295951317,0.0008184666187741307
Hospital or Not_Not In Hospital,-0.25691954808901857,0.04892683582992122,-5.251096739264291,1.5119624135282247e-07
multiple_birth_Singleton,-1.620169405826414,0.5374671056203052,-3.0144531430561377,0.0025744297433664435
multiple_birth_Triplets,-0.3532842107621061,0.5611249221557063,-0.6295999283098558,0.5289563705000015
multiple_birth_Twin,-0.600009374053809,0.5384725153905944,-1.1142804078283872,0.2651589093988306
Birth_Weight(grams),0.00020662595378007997,7.5137581934210205e-06,27.49968104656333,1.771121293611813e-166
1/2,1.5194223029053318,0.8686156262931926,1.7492458769012127,0.08024852705672365
2/3,0.6886807924976575,0.002719715700083292,253.2179346821311,0.0
3/4,0.6249411439514487,0.004464537169423172,139.9789317987003,0.0
4/5,0.4524029014856158,0.010163699731640805,44.51163586397892,0.0
5/6,0.44137736318183896,0.021776772420184505,20.268263573013883,2.4515538910812796e-91
6/7,0.2649374197953883,0.04760863658073507,5.564902480374659,2.622990557300484e-08
7/8,0.2608331699810157,0.09114059717036807,2.8618769031482563,0.00421140438262762
8/9,0.1649042809681582,0.17649234188472207,0.9343424151279451,0.3501272917119994
