Birth Order,N,Mean (g),SD (g),Median (g),IQR (g),% LBW (<2500g),% Macrosomia (>4000g)
1st child,106660,2874.5,474.9,2900.0,2600.0 - 3180.0,18.1,0.7
2nd child,96224,2933.5,471.8,2950.0,2650.0 - 3230.0,14.8,1.0
3rd child,47648,2967.0,486.3,3000.0,2685.0 - 3270.0,14.0,1.4
4th child,8941,2970.0,524.2,3000.0,2670.0 - 3300.0,15.8,2.1
5th child,1679,2990.8,539.6,3005.0,2700.0 - 3330.0,14.1,2.5
6th child,297,2991.8,540.1,3040.0,2700.0 - 3300.0,12.8,2.7
7th child,71,3059.2,507.9,3010.0,2735.0 - 3300.0,8.5,4.2
8th child,19,3288.4,325.2,3200.0,3037.5 - 3492.5,0.0,0.0
9th child,5,2874.0,354.2,2850.0,2700.0 - 3060.0,20.0,0.0
